과목명,교과군,과목유형,학교지정,학년선택,비고_전문_고시외_표6,선택군_코드,편성학점,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점,1-1_선택군_코드,1-2_선택군_코드,2-1_선택군_코드,2-2_선택군_코드,3-1_선택군_코드,3-2_선택군_코드
공통국어1,국 어,공통,True,,,,4,4,,,,,,,,,,,
공통국어2,국 어,공통,True,,,,4,,4,,,,,,,,,,
화법과 언어,국 어,일반,True,,,,4,,,,4,,,,,,,,
문학,국 어,일반,True,,,,4,,,4,,,,,,,,,
공통수학1,수 학,공통,True,,,,4,4,,,,,,,,,,,
공통수학2,수 학,공통,True,,,,4,,4,,,,,,,,,,
대수,수 학,일반,True,,,,4,,,4,,,,,,,,,
미적분Ⅰ,수 학,일반,True,,,,4,,,,4,,,,,,,,
공통영어1,영 어,공통,True,,,,4,4,,,,,,,,,,,
공통영어2,영 어,공통,True,,,,4,,4,,,,,,,,,,
영어Ⅰ,영 어,일반,True,,,,4,,,4,,,,,,,,,
영어Ⅱ,영 어,일반,True,,,,4,,,,4,,,,,,,,
한국사1,사 회,공통,True,,,,3,3,,,,,,,,,,,
한국사2,사 회,공통,True,,,,3,,3,,,,,,,,,,
통합사회1,사 회,공통,True,,,,4,4,,,,,,,,,,,
통합사회2,사 회,공통,True,,,,4,,4,,,,,,,,,,
통합과학1,과 학,공통,True,,,,4,4,,,,,,,,,,,
통합과학2,과 학,공통,True,,,,4,,4,,,,,,,,,,
과학탐구실험1,과 학,공통,True,,,,1,1,,,,,,,,,,,
과학탐구실험2,과 학,공통,True,,,,1,,1,,,,,,,,,,
체육1,체 육,일반,True,,,,2,2,,,,,,,,,,,
체육2,체 육,일반,True,,,,2,,2,,,,,,,,,,
운동과 건강,체 육,진로,True,,,,2,,,,,2,,,,,,,
스포츠 문화,체 육,진로,True,,,,1,,,1,,,,,,,,,
스포츠 과학,체 육,진로,True,,,,1,,,,1,,,,,,,,
스포츠 생활1,체 육,융합,True,,,,2,,,,,,2,,,,,,
음악,예 술,일반,True,,"(교차이수)
3학점 부족
1과목 선택",,2,,,2,,,,,,,,,
미술,예 술,일반,True,,,,3,3,,,,,,,,,,,
음악 감상과 비평,예 술,일반,True,,,,2,,,,2,,,,,,,,
정보,기술·가정/정보,일반,True,,"(교차이수)
12학점 부족
4과목 선택",,3,,3,,,,,,,,,,
생애 설계와 자립,기술·가정/정보,일반,True,,,,1,,,,,,1,,,,,,
주제 탐구 독서,국 어,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
독서 토론과 글쓰기,국 어,융합,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
확률과 통계*,수 학,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
기하*,수 학,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
미디어 영어,영 어,융합,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
세계 문화와 영어,영 어,융합,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
세계시민과 지리,사 회,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
세계사,사 회,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
현대사회와 윤리,사 회,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
정치,사 회,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
경제,사 회,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
인문학과 윤리,사 회,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
사회문제 탐구,사 회,융합,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
기후변화와 지속가능한 세계,사 회,융합,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
물리학*,과 학,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
화학*,과 학,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
생명과학*,과 학,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
지구과학*,과 학,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
전자기와 양자*,과 학,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
화학 반응의 세계*,과 학,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
기후변화와 환경생태*,과 학,융합,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
기초 체육 전공 실기,체육,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
기술·가정*,기술·가정/정보,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
인공지능 기초*,기술·가정/정보,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
인체 구조와 기능*,기술·가정/정보,진로(전문),,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
중국어,제2외국어/한문,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
일본어,제2외국어/한문,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
한문,제2외국어/한문,일반,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
심화 일본어,제2외국어/한문,진로,,True,,2-1-2학년학생선택-5,3,,,3,3,,,,,2-1-2학년학생선택-5,2-2-2학년학생선택-5,,
독서와 작문,국 어,일반,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
문학과 영상,국 어,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
매체 의사소통,국 어,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
언어생활 탐구,국 어,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
미적분Ⅱ*,수 학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
경제 수학,수 학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
실용 통계*,수 학,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
전문 수학*,수 학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
영어 독해와 작문,영 어,일반,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
영미 문학 읽기,영 어,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
심화 영어,영 어,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
심화 영어 독해와 작문,영 어,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
사회와 문화,사 회,일반,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
한국지리 탐구,사 회,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
여행지리,사 회,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
동아시아 역사 기행,사 회,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
법과 사회,사 회,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
윤리와 사상,사 회,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
금융과 경제생활,사 회,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
윤리문제 탐구,사 회,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
역학과 에너지*,과학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
물질과 에너지*,과학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
세포와 물질대사*,과학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
생물의 유전*,과학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
지구시스템과학*,과학,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
과학의 역사와 문화*,과학,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
융합과학 탐구*,과학,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
심화 체육 전공 실기,체육,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
음악 연주와 창작,예술,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
미술 감상과 비평,예술,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
음악과 미디어,예술,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
지식 재산 일반,기술·가정/정보,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
중국어 회화,제2외국어/한문,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
일본어 회화,제2외국어/한문,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
한문 고전 읽기,제2외국어/한문,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
중국 문화,제2외국어/한문,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
일본 문화,제2외국어/한문,융합,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
보건*,교양,진로,,True,,3-1-3학년학생선택-9,3,,,,,3,3,,,,,3-1-3학년학생선택-9,3-2-3학년학생선택-8
